names,links,category,profile_path
Diane von Furstenberg,https://en.wikipedia.org/wiki/Diane_von_F%C3%BCrstenberg,no file,./Women_Profiles/Diane_von_Furstenberg
Ruth Bader Ginsburg,https://en.wikipedia.org/wiki/Ruth_Bader_Ginsburg,no file,./Women_Profiles/Ruth_Bader_Ginsburg
Gwendolyn Brooks,https://en.wikipedia.org/wiki/Gwendolyn_Brooks,no file,./Women_Profiles/Gwendolyn_Brooks
Michelle Payne,https://en.wikipedia.org/wiki/Michelle_Payne,no file,./Women_Profiles/Michelle_Payne
Martha Stewart,https://en.wikipedia.org/wiki/Martha_Stewart,no file,./Women_Profiles/Martha_Stewart
Eva Perón,https://en.wikipedia.org/wiki/Eva_Per%C3%B3n,no file,./Women_Profiles/Eva_Perón
Edith Cavell,https://en.wikipedia.org/wiki/Edith_Cavell,no file,./Women_Profiles/Edith_Cavell
Greta Thunberg,https://en.wikipedia.org/wiki/Greta_Thunberg,no file,./Women_Profiles/Greta_Thunberg
Coretta Scott-King,https://en.wikipedia.org/wiki/Coretta_Scott_King,no file,./Women_Profiles/Coretta_Scott-King
Vera Lynn,https://en.wikipedia.org/wiki/Vera_Lynn,no file,./Women_Profiles/Vera_Lynn
Byron Katie,https://en.wikipedia.org/wiki/Byron_Katie,no file,./Women_Profiles/Byron_Katie
Helen Sharman,https://en.wikipedia.org/wiki/Helen_Sharman,no file,./Women_Profiles/Helen_Sharman
Nina Simone,https://en.wikipedia.org/wiki/Nina_Simone,no file,./Women_Profiles/Nina_Simone
Caroline Myss,https://en.wikipedia.org/wiki/Caroline_Myss,no file,./Women_Profiles/Caroline_Myss
Marie Stopes,https://en.wikipedia.org/wiki/Marie_Stopes,no file,./Women_Profiles/Marie_Stopes
Marion Reid,https://en.wikipedia.org/wiki/Marion_Reid,no file,./Women_Profiles/Marion_Reid
Sandi Toksvig,https://en.wikipedia.org/wiki/Sandi_Toksvig,no file,./Women_Profiles/Sandi_Toksvig
Anna Freud,https://en.wikipedia.org/wiki/Anna_Freud,no file,./Women_Profiles/Anna_Freud
Jennie Finch,https://en.wikipedia.org/wiki/Jennie_Finch,no file,./Women_Profiles/Jennie_Finch
Chris Evert,https://en.wikipedia.org/wiki/Chris_Evert,no file,./Women_Profiles/Chris_Evert
Margaret Thatcher,https://en.wikipedia.org/wiki/Margaret_Thatcher,no file,./Women_Profiles/Margaret_Thatcher
Somaly Mam,https://en.wikipedia.org/wiki/Somaly_Mam,no file,./Women_Profiles/Somaly_Mam
Taylor Swift,https://en.wikipedia.org/wiki/Taylor_Swift,no file,./Women_Profiles/Taylor_Swift
Bessie Coleman,https://en.wikipedia.org/wiki/Bessie_Coleman,no file,./Women_Profiles/Bessie_Coleman
Erin Pizzey,https://en.wikipedia.org/wiki/Erin_Pizzey,no file,./Women_Profiles/Erin_Pizzey
Diana Nyad,https://en.wikipedia.org/wiki/Diana_Nyad,no file,./Women_Profiles/Diana_Nyad
Charlotte Cooper,https://en.wikipedia.org/wiki/Charlotte_Cooper_(tennis),no file,./Women_Profiles/Charlotte_Cooper
