names,links,category,filename
Louise Abbéma,https://en.wikipedia.org/wiki/Louise_Abb%C3%A9ma#Biography,List_of_20th-century_women_artists,./HTML/Women/Louise_Abb%C3%A9ma#Biography.html
Helen Allingham,https://en.wikipedia.org/wiki/Helen_Allingham,List_of_20th-century_women_artists,./HTML/Women/Helen_Allingham.html
Ester Almqvist,https://en.wikipedia.org/wiki/Ester_Almqvist,List_of_20th-century_women_artists,./HTML/Women/Ester_Almqvist.html
Anna Ancher,https://en.wikipedia.org/wiki/Anna_Ancher,List_of_20th-century_women_artists,./HTML/Women/Anna_Ancher.html
Marie-Elmina Anger,https://en.wikipedia.org/wiki/Marie-Elmina_Anger,List_of_20th-century_women_artists,./HTML/Women/Marie-Elmina_Anger.html
Helen Maitland Armstrong,https://en.wikipedia.org/wiki/Helen_Maitland_Armstrong,List_of_20th-century_women_artists,./HTML/Women/Helen_Maitland_Armstrong.html
Lucy Bacon,https://en.wikipedia.org/wiki/Lucy_Bacon,List_of_20th-century_women_artists,./HTML/Women/Lucy_Bacon.html
Susie M. Barstow,https://en.wikipedia.org/wiki/Susie_M._Barstow,List_of_20th-century_women_artists,./HTML/Women/Susie_M._Barstow.html
Jane E. Bartlett,https://en.wikipedia.org/wiki/Jane_E._Bartlett,List_of_20th-century_women_artists,./HTML/Women/Jane_E._Bartlett.html
Cecilia Beaux,https://en.wikipedia.org/wiki/Cecilia_Beaux,List_of_20th-century_women_artists,./HTML/Women/Cecilia_Beaux.html
Julie Hart Beers,https://en.wikipedia.org/wiki/Julie_Hart_Beers,List_of_20th-century_women_artists,./HTML/Women/Julie_Hart_Beers.html
Enella Benedict,https://en.wikipedia.org/wiki/Enella_Benedict,List_of_20th-century_women_artists,./HTML/Women/Enella_Benedict.html
Harriet Blackstone,https://en.wikipedia.org/wiki/Harriet_Blackstone,List_of_20th-century_women_artists,./HTML/Women/Harriet_Blackstone.html
Anna Boch,https://en.wikipedia.org/wiki/Anna_Boch,List_of_20th-century_women_artists,./HTML/Women/Anna_Boch.html
Alice Boughton,https://en.wikipedia.org/wiki/Alice_Boughton,List_of_20th-century_women_artists,./HTML/Women/Alice_Boughton.html
Marie Bracquemond,https://en.wikipedia.org/wiki/Marie_Bracquemond,List_of_20th-century_women_artists,./HTML/Women/Marie_Bracquemond.html
Fidelia Bridges,https://en.wikipedia.org/wiki/Fidelia_Bridges,List_of_20th-century_women_artists,./HTML/Women/Fidelia_Bridges.html
Caroline Shawk Brooks,https://en.wikipedia.org/wiki/Caroline_Shawk_Brooks,List_of_20th-century_women_artists,./HTML/Women/Caroline_Shawk_Brooks.html
Matilda Browne,https://en.wikipedia.org/wiki/Matilda_Browne,List_of_20th-century_women_artists,./HTML/Women/Matilda_Browne.html
Elizabeth Eaton Burton,https://en.wikipedia.org/wiki/Elizabeth_Eaton_Burton,List_of_20th-century_women_artists,./HTML/Women/Elizabeth_Eaton_Burton.html
Evelyn Cameron,https://en.wikipedia.org/wiki/Evelyn_Cameron,List_of_20th-century_women_artists,./HTML/Women/Evelyn_Cameron.html
Mary Cassatt,https://en.wikipedia.org/wiki/Mary_Cassatt,List_of_20th-century_women_artists,./HTML/Women/Mary_Cassatt.html
Nellie Charlie,https://en.wikipedia.org/wiki/Nellie_Charlie,List_of_20th-century_women_artists,./HTML/Women/Nellie_Charlie.html
Christabel Cockerell,https://en.wikipedia.org/wiki/Christabel_Cockerell,List_of_20th-century_women_artists,./HTML/Women/Christabel_Cockerell.html
Kate Cory,https://en.wikipedia.org/wiki/Kate_Cory,List_of_20th-century_women_artists,./HTML/Women/Kate_Cory.html
Helene Cramer,https://en.wikipedia.org/wiki/Helene_Cramer,List_of_20th-century_women_artists,./HTML/Women/Helene_Cramer.html
Alice Dannenberg,https://en.wikipedia.org/wiki/Alice_Dannenberg,List_of_20th-century_women_artists,./HTML/Women/Alice_Dannenberg.html
Jenny Eakin Delony,https://en.wikipedia.org/wiki/Jenny_Eakin_Delony,List_of_20th-century_women_artists,./HTML/Women/Jenny_Eakin_Delony.html
Elisabeth von Eicken,https://en.wikipedia.org/wiki/Elisabeth_von_Eicken,List_of_20th-century_women_artists,./HTML/Women/Elisabeth_von_Eicken.html
Laura Ann Fry,https://en.wikipedia.org/wiki/Laura_Ann_Fry,List_of_20th-century_women_artists,./HTML/Women/Laura_Ann_Fry.html
Anna Gerresheim,https://en.wikipedia.org/wiki/Anna_Gerresheim,List_of_20th-century_women_artists,./HTML/Women/Anna_Gerresheim.html
Anne Goldthwaite,https://en.wikipedia.org/wiki/Anne_Goldthwaite,List_of_20th-century_women_artists,./HTML/Women/Anne_Goldthwaite.html
Caroline Gotch,https://en.wikipedia.org/wiki/Caroline_Gotch,List_of_20th-century_women_artists,./HTML/Women/Caroline_Gotch.html
Laura Coombs Hills,https://en.wikipedia.org/wiki/Laura_Coombs_Hills,List_of_20th-century_women_artists,./HTML/Women/Laura_Coombs_Hills.html
Anna Hope Hudson,https://en.wikipedia.org/wiki/Anna_Hope_Hudson,List_of_20th-century_women_artists,./HTML/Women/Anna_Hope_Hudson.html
Lucy Kemp-Welch,https://en.wikipedia.org/wiki/Lucy_Kemp-Welch,List_of_20th-century_women_artists,./HTML/Women/Lucy_Kemp-Welch.html
Louisa Keyser,https://en.wikipedia.org/wiki/Louisa_Keyser,List_of_20th-century_women_artists,./HTML/Women/Louisa_Keyser.html
Kitty Lange Kielland,https://en.wikipedia.org/wiki/Kitty_Lange_Kielland,List_of_20th-century_women_artists,./HTML/Women/Kitty_Lange_Kielland.html
Käthe Kollwitz,https://en.wikipedia.org/wiki/K%C3%A4the_Kollwitz,List_of_20th-century_women_artists,./HTML/Women/K%C3%A4the_Kollwitz.html
